Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,year
Atlanta Utd,30,34.0,18263,16551,1654,557,51,188,554,610,165,65,62,2,15249,58,251,2021
Austin,27,34.0,17643,15954,1642,410,24,174,694,633,205,106,52,5,14588,47,268,2021
CF Montréal,28,34.0,17626,16035,1537,459,59,154,509,587,168,71,57,1,14584,54,260,2021
Chicago Fire,25,34.0,15954,14082,1816,482,46,141,659,800,179,70,65,2,12351,56,320,2021
Colorado Rapids,27,34.0,16082,14468,1554,357,43,173,643,650,171,86,74,0,12952,60,252,2021
Columbus Crew,27,34.0,16603,14938,1617,445,33,121,617,642,150,65,72,1,13386,48,245,2021
D.C. United,29,34.0,14218,12394,1768,459,40,127,578,772,168,67,63,3,10427,56,287,2021
Dynamo FC,30,34.0,14488,12742,1680,393,51,142,644,709,189,79,60,11,11027,66,300,2021
FC Cincinnati,29,34.0,15927,14225,1643,473,50,182,446,609,136,79,24,0,12909,59,231,2021
FC Dallas,26,34.0,16906,15304,1545,396,41,173,535,601,165,63,64,0,13653,57,251,2021
Inter Miami,26,34.0,15374,13757,1551,470,41,185,505,573,151,44,75,10,12407,66,261,2021
LA Galaxy,29,34.0,18752,17142,1556,412,48,163,628,628,171,61,58,0,15570,54,272,2021
Los Angeles FC,30,34.0,16067,14243,1775,427,73,63,548,814,189,100,70,3,12519,49,334,2021
Minnesota Utd,27,34.0,16591,14894,1650,431,51,124,626,706,190,106,74,1,13078,47,263,2021
Nashville,28,34.0,15499,13939,1499,417,31,126,650,624,162,72,79,0,12210,61,236,2021
New England,25,34.0,16514,14823,1647,445,52,165,741,641,217,79,71,6,13077,44,281,2021
NY Red Bulls,28,34.0,14199,12384,1751,423,41,106,686,881,175,62,80,2,9779,64,314,2021
NYCFC,26,34.0,17178,15476,1641,470,51,121,528,697,159,105,24,2,13674,61,342,2021
Orlando City,29,34.0,16757,15131,1578,470,51,131,523,598,148,58,57,2,13757,48,260,2021
Philadelphia,27,34.0,15207,13549,1592,399,20,216,733,683,166,57,85,2,11433,66,279,2021
Portland Timbers,29,34.0,15195,13562,1594,423,33,131,567,644,130,42,63,1,11990,39,261,2021
Real Salt Lake,26,34.0,15925,14238,1648,384,33,211,633,684,166,65,59,4,12565,39,248,2021
San Jose,24,34.0,15978,14201,1737,505,31,224,607,664,182,86,45,4,12731,40,277,2021
Seattle,29,34.0,16375,14699,1632,509,32,145,627,615,155,48,79,1,12858,44,290,2021
Sporting KC,25,34.0,19194,17521,1633,471,34,265,678,640,207,138,12,0,15966,40,281,2021
Toronto FC,30,34.0,17114,15366,1677,474,54,59,518,659,151,49,53,4,13835,71,296,2021
Vancouver,27,34.0,15087,13341,1691,450,30,138,635,676,176,80,84,0,11797,55,244,2021
Atlanta Utd,32,34.0,18233,16557,1612,448,71,164,702,603,221,96,97,0,15046,64,295,2022
Austin,26,34.0,16929,15271,1594,417,39,220,586,664,152,77,36,2,13719,64,217,2022
